29,Sources -- Pels agree with Euroleague G Bertans,Jonathan GivonyAdrian Wojnarowski,"Dairis Bertans, who plays for Italian team Olimpia Milano and is leading the Euroleague in 3-point shooting, have agreed to terms with the Pelicans on a contract, sources told ESPN.",2019-02-28T07:31:56Z,http://www.espn.com/nba/story/_/id/26100272/sources-pels-agree-euroleague-g-bertans
30,Rondo sparks Lakers after meeting with Walton,"Ohm Youngmisuk, ESPN Staff Writer","After Rajon Rondo and coach Luke Walton had ""a healthy and positive"" talk to see how to get the team back on track, Rondo was back in form and sparked the Lakers to a 125-119 win over the Pelicans.",2019-02-28T08:58:18Z,http://www.espn.com/nba/story/_/id/26100976/rondo-sparks-lakers-meeting-walton
31,"Harden scores 58 points, Rockets rally to beat Heat 121-118",Associated Press,"James Harden had 58 points, 10 assists and seven rebounds and the Houston Rockets overcame a 21-point third-quarter deficit to beat the Miami Heat 121-118 on Thursday night.",2019-03-01T03:54:44Z,http://www.espn.com/nba/preview?gameId=401071598
32,"Gordon scores 22, Magic rally past Warriors 103-96",Associated Press,"Aaron Gordon had 22 points and 15 rebounds, Terrence Ross added 16 points and the Orlando Magic rallied in the final three minutes to beat the Golden State Warriors 103-96 on Thursday night.",2019-03-01T02:46:35Z,http://www.espn.com/nba/preview?gameId=401071596
33,"Bogdanovic has season-high 35 points, Pacers top Wolves",Associated Press,Bojan Bogdanovic scored a season-high 35 points and the Indiana Pacers overcame Karl-Anthony Towns' big night for Minnesota to beat the Timberwolves 122-115 on Thursday.,2019-03-01T02:52:35Z,http://www.espn.com/nba/preview?gameId=401071595
34,"LeBron's 33 send Lakers past Davis' Pelicans, 125-119",Associated Press,"LeBron James scored 33 points, Brandon Ingram added 23 and the Los Angeles Lakers weathered strong performances by Anthony Davis and Julius Randle for a 125-119 victory over the New Orleans Pelicans on Wednesday night.",2019-02-28T08:07:25Z,http://www.espn.com/nba/recap?gameId=401071594
35,Bledsoe has triple-double as Bucks edge Kings 141-140 in OT,Associated Press,"Eric Bledsoe scored five of his 26 points in overtime when Milwaukee played all but the final 12 seconds without Giannis Antetokounmpo, and the Bucks beat the Sacramento Kings 141-140 on Wednesday night.",2019-02-28T08:07:11Z,http://www.espn.com/nba/recap?gameId=401071593
36,"Mitchell scores 32, Jazz beat Clippers 111-105",Associated Press,"Donovan Mitchell scored 32 points, Rudy Gobert had 20 points and 13 rebounds, and the Utah Jazz beat the Los Angeles Clippers 111-105 on Wednesday night.",2019-02-28T04:48:54Z,http://www.espn.com/nba/recap?gameId=401071592
37,No more room for Anthony Davis what-ifs on Lakers' path to playoffs,"Dave McMenamin, ESPN Staff Writer","With the awkwardness of Anthony Davis's visit behind them, the Lakers can now focus on moving past the failed trade negotiations and making the postseason.",2019-02-28T00:46:59Z,http://www.espn.com/nba/story/_/id/26097803/no-more-room-anthony-davis-ifs-lakers-path-playoffs
38,"Aldridge helps Spurs beat Pistons in return home, 105-93",Associated Press,"LaMarcus Aldridge scored 24 points, DeMar DeRozan had 17 points and 13 points, and the San Antonio Spurs returned home after a 25-day absence to beat the Detroit Pistons 105-93 on Wednesday night and snap a three-game skid.",2019-02-28T04:02:39Z,http://www.espn.com/nba/recap?gameId=401071590
